Date,Males,Females,Other_Asian,Blacks,Chinese,Cambodian,Filipino,Guamanian,Hispanic,American_Indian,Japanese,Korean,Laotian,Other,Pacific_Islander,Samoan,Hawaiian,Vietnamese,White,Unknown,Asian_Indian
31-01-10,10821,2786,55,3790,4,0,7,0,6650,6,1,16,0,641,3,0,0,0,2433,0,1
28-02-10,9743,2549,45,3491,1,0,8,0,6063,3,1,26,0,575,2,0,0,0,2075,1,1
31-03-10,11362,3109,51,4040,1,0,14,0,7302,4,0,20,0,628,6,0,1,0,2404,0,0
30-04-10,10815,2926,60,3885,3,0,6,0,6712,3,1,13,0,676,3,1,0,0,2377,1,0
31-05-10,11786,3003,40,4104,4,0,7,0,7471,6,1,41,0,662,2,0,0,0,2450,1,0
30-06-10,10969,2787,26,3713,4,0,9,0,6759,5,2,6,0,647,2,0,0,0,2582,1,0
31-07-10,11525,2698,43,4024,6,0,10,0,6909,4,2,10,0,676,3,1,0,0,2535,0,0
31-08-10,11409,2736,37,3882,7,0,7,0,6947,4,2,17,0,605,2,0,0,1,2634,0,0
30-09-10,11529,2827,51,3801,1,0,17,0,6891,1,1,27,0,690,1,0,0,0,2873,2,0
31-10-10,11147,2761,46,3910,3,0,16,1,6739,5,2,14,0,664,2,0,0,0,2506,0,0
30-11-10,9580,2537,28,3376,2,0,10,0,5739,1,0,7,0,604,2,0,0,1,2345,1,1
31-12-10,8746,2309,28,3063,3,0,13,0,5268,5,2,10,0,575,1,0,0,0,2087,0,0
31-01-11,10403,2701,32,3550,43,0,8,0,6384,1,2,17,0,610,2,0,0,0,2454,1,0
28-02-11,8999,2508,51,3187,2,0,11,1,5539,3,1,20,0,553,2,0,0,0,2136,1,0
31-03-11,11317,3005,58,3820,8,0,12,0,6980,5,2,16,0,691,2,0,0,1,2726,1,0
30-04-11,10171,2606,46,3387,7,0,8,0,6131,3,0,32,0,680,4,0,0,0,2477,2,0
31-05-11,10764,2855,49,3660,3,0,11,0,6562,3,3,12,0,684,0,0,0,0,2628,4,0
30-06-11,11028,2792,72,3902,9,0,10,0,6441,4,3,20,0,702,2,1,0,1,2651,2,0
31-07-11,11687,2870,49,3932,10,0,16,1,6980,8,1,23,0,743,4,0,0,0,2787,3,0
31-08-11,11271,2741,51,4011,6,0,11,1,6505,4,2,20,0,628,1,0,0,0,2771,1,0
30-09-11,10788,2630,37,3748,5,0,16,0,6220,1,3,20,0,723,3,0,0,0,2640,2,0
31-10-11,10401,2526,47,3692,5,0,11,0,5962,7,3,27,0,668,2,1,0,0,2502,0,0
30-11-11,9478,2602,41,3441,7,0,14,0,5351,7,3,17,1,648,2,0,0,0,2547,1,0
31-12-11,9180,2373,37,3325,9,0,6,1,5256,3,2,9,0,665,3,0,0,0,2236,1,0
31-01-12,10970,2877,61,4114,8,0,9,0,6289,6,1,28,1,730,1,0,0,1,2598,0,0
29-02-12,10922,2786,52,4057,7,0,12,1,6348,5,1,23,1,696,2,0,0,0,2501,2,0
31-03-12,11794,2919,80,4251,10,0,8,0,6788,1,1,14,0,711,2,0,0,0,2847,0,0
30-04-12,10674,2646,59,4032,4,0,6,0,6122,5,0,7,0,702,2,0,0,0,2380,1,0
31-05-12,11499,2799,43,4160,7,0,8,1,6688,3,0,22,0,670,2,0,0,0,2694,0,0
30-06-12,10402,2700,60,3901,10,1,12,1,6105,2,2,12,0,650,2,0,0,0,2344,0,0
31-07-12,11226,2817,55,4205,16,0,6,0,6317,4,4,4,0,635,2,0,0,0,2794,1,0
31-08-12,11981,2935,68,4401,6,0,11,1,6833,7,2,11,1,714,1,0,0,0,2859,1,0
30-09-12,11017,2774,81,3904,51,0,19,0,6373,2,2,24,0,661,1,0,0,0,2672,1,0
31-10-12,10771,2802,58,4202,3,0,6,0,5956,2,2,17,0,646,2,0,0,0,2678,1,0
30-11-12,9617,2456,71,3562,50,0,11,0,5441,2,1,15,0,612,1,0,0,0,2307,0,0
31-12-12,9573,2481,69,3564,29,0,14,0,5224,0,2,17,0,665,1,0,0,0,2468,1,0
31-01-13,10554,2680,48,4008,7,0,10,0,5957,1,3,16,0,644,4,0,0,0,2534,2,0
28-02-13,8539,2255,45,3195,10,0,8,0,4995,0,2,6,0,549,1,0,0,0,1983,0,0
31-03-13,11672,2989,98,4250,8,0,14,0,6761,4,2,21,0,765,1,1,0,1,2732,3,0
30-04-13,10965,2833,36,4055,3,0,11,0,6500,1,1,10,0,643,0,0,0,1,2536,0,1
31-05-13,12049,3020,49,4296,7,0,9,0,7026,1,2,13,0,749,0,0,0,0,2917,0,0
30-06-13,10269,2747,36,3941,4,0,14,0,5714,3,3,21,0,545,2,0,0,0,2733,0,0
31-07-13,10677,2685,62,3959,8,0,13,1,5845,4,2,13,0,648,0,0,0,0,2807,0,0
31-08-13,10048,2677,56,3625,8,0,16,1,5961,2,1,10,0,668,1,0,0,0,2375,1,0
30-09-13,9294,2365,40,3344,25,0,10,0,5276,8,1,16,0,618,2,0,0,0,2319,0,0
31-10-13,9971,2508,30,3688,8,0,9,0,5718,1,0,10,0,605,3,0,0,0,2407,0,0
30-11-13,8792,2343,33,3052,15,0,4,0,5183,5,0,8,0,597,2,0,0,0,2236,0,0
31-12-13,8556,2364,40,3115,13,0,11,0,4979,1,1,9,0,600,0,0,0,0,2151,0,0
31-01-14,9711,2529,30,3506,7,0,10,0,5565,1,1,8,0,613,4,0,0,0,2495,0,0
28-02-14,8722,2186,40,3031,2,0,13,1,5026,2,1,18,0,577,2,1,0,0,2194,0,0
31-03-14,9382,2495,30,3374,8,0,6,0,5657,2,1,21,0,605,2,0,0,1,2167,3,0
30-04-14,8892,2347,46,3118,2,0,7,1,5317,3,3,10,0,549,2,0,0,0,2181,0,0
31-05-14,9370,2440,44,3370,7,0,7,0,5627,2,1,7,0,639,2,0,0,0,2103,1,0
30-06-14,8557,2427,25,3170,8,0,10,0,5132,3,3,4,0,531,1,0,0,1,2095,1,0
31-07-14,10896,2979,38,3902,6,0,9,0,6549,1,5,9,0,765,2,0,0,0,2587,2,0
31-08-14,10267,2772,44,3593,9,0,4,0,6209,5,2,14,0,649,1,0,0,0,2509,0,0
30-09-14,9637,2571,24,3270,6,0,10,0,5923,3,1,8,0,566,1,0,0,0,2396,0,0
31-10-14,9271,2581,30,3340,2,0,7,0,5545,3,3,7,0,596,2,0,0,0,2316,1,0
30-11-14,8001,2222,23,2909,3,0,8,0,4761,3,0,9,0,507,1,0,0,0,1997,2,0
