Date,Males,Females,Other_Asian,Blacks,Chinese,Cambodian,Filipino,Guamanian,Hispanic,American_Indian,Japanese,Korean,Laotian,Other,Pacific_Islander,Samoan,Hawaiian,Vietnamese,White,Unknown,Asian_Indian,Others,Asians,Sum,Per_Males,Per_Females,Per_Hispanic,Per_Blacks,Per_White,Per_Asians,Per_Others,Per_Sum
31-01-10,10821,2786,55,3790,4,0,7,0,6650,6,1,16,0,641,3,0,0,0,2433,0,1,650,83,13607,0.005519026,0.001382183,0.003419449,0.011241821,0.002146042,0.000185865,0.005752212,0.006901209
28-02-10,9743,2549,45,3491,1,0,8,0,6063,3,1,26,0,575,2,0,0,0,2075,1,1,580,81,12292,0.004969215,0.001264603,0.003117612,0.010354933,0.001830266,0.000181386,0.005132743,0.006233818
31-03-10,11362,3109,51,4040,1,0,14,0,7302,4,0,20,0,628,6,0,1,0,2404,0,0,639,86,14471,0.005794952,0.001542429,0.003754709,0.011983366,0.002120462,0.000192583,0.005654867,0.007337381
30-04-10,10815,2926,60,3885,3,0,6,0,6712,3,1,13,0,676,3,1,0,0,2377,1,0,683,83,13741,0.005515966,0.001451639,0.003451329,0.011523608,0.002096647,0.000185865,0.006044248,0.006967605
31-05-10,11786,3003,40,4104,4,0,7,0,7471,6,1,41,0,662,2,0,0,0,2450,1,0,670,93,14789,0.006011204,0.001489841,0.003841609,0.012173201,0.002161037,0.000208258,0.005929204,0.007501045
30-06-10,10969,2787,26,3713,4,0,9,0,6759,5,2,6,0,647,2,0,0,0,2582,1,0,654,47,13756,0.00559451,0.001382679,0.003475497,0.011013425,0.002277468,0.000105249,0.005787611,0.00697719
31-07-10,11525,2698,43,4024,6,0,10,0,6909,4,2,10,0,676,3,1,0,0,2535,0,0,684,71,14223,0.005878087,0.001338525,0.003552627,0.011935907,0.002236012,0.000158993,0.006053097,0.007216611
31-08-10,11409,2736,37,3882,7,0,7,0,6947,4,2,17,0,605,2,0,0,1,2634,0,0,611,71,14145,0.005818923,0.001357377,0.003572167,0.011514709,0.002323335,0.000158993,0.00540708,0.0071763
30-09-10,11529,2827,51,3801,1,0,17,0,6891,1,1,27,0,690,1,0,0,0,2873,2,0,692,97,14356,0.005880127,0.001402524,0.003543371,0.011274449,0.002534147,0.000217216,0.006123894,0.007282651
31-10-10,11147,2761,46,3910,3,0,16,1,6739,5,2,14,0,664,2,0,0,0,2506,0,0,671,82,13908,0.005685296,0.00136978,0.003465213,0.011597762,0.002210432,0.000183626,0.005938053,0.007055076
30-11-10,9580,2537,28,3376,2,0,10,0,5739,1,0,7,0,604,2,0,0,1,2345,1,1,607,48,12117,0.00488608,0.00125865,0.00295101,0.010013822,0.002068421,0.000107488,0.005371681,0.00614473
31-12-10,8746,2309,28,3063,3,0,13,0,5268,5,2,10,0,575,1,0,0,0,2087,0,0,581,56,11055,0.004460716,0.001145535,0.00270882,0.009085408,0.001840851,0.000125403,0.005141593,0.005606251
31-01-11,10403,2701,32,3550,43,0,8,0,6384,1,2,17,0,610,2,0,0,0,2454,1,0,613,102,13104,0.005305834,0.001340013,0.003282671,0.010529938,0.002164565,0.000228412,0.005424779,0.006645847
28-02-11,8999,2508,51,3187,2,0,11,1,5539,3,1,20,0,553,2,0,0,0,2136,1,0,558,86,11507,0.004589753,0.001244262,0.002848169,0.009453214,0.001884071,0.000192583,0.004938053,0.005834015
31-03-11,11317,3005,58,3820,8,0,12,0,6980,5,2,16,0,691,2,0,0,1,2726,1,0,698,97,14322,0.005772001,0.001490833,0.003589136,0.011330806,0.002404484,0.000217216,0.006176991,0.007262833
30-04-11,10171,2606,46,3387,7,0,8,0,6131,3,0,32,0,680,4,0,0,0,2477,2,0,687,93,12777,0.005187507,0.001292882,0.003152577,0.01004645,0.002184852,0.000208258,0.006079646,0.006480389
31-05-11,10764,2855,49,3660,3,0,11,0,6562,3,3,12,0,684,0,0,0,0,2628,4,0,687,78,13619,0.005489954,0.001416415,0.003374199,0.010856217,0.002318043,0.000174668,0.006079646,0.00690637
30-06-11,11028,2792,72,3902,9,0,10,0,6441,4,3,20,0,702,2,1,0,1,2651,2,0,709,115,13820,0.005624602,0.00138516,0.00331198,0.011574033,0.00233833,0.000257524,0.006274336,0.007009762
31-07-11,11687,2870,49,3932,10,0,16,1,6980,8,1,23,0,743,4,0,0,0,2787,3,0,755,100,14557,0.005960711,0.001423857,0.003589136,0.011663018,0.00245829,0.000223934,0.006681416,0.007384568
31-08-11,11271,2741,51,4011,6,0,11,1,6505,4,2,20,0,628,1,0,0,0,2771,1,0,633,91,14012,0.005748539,0.001359858,0.003344889,0.011897346,0.002444177,0.00020378,0.00560177,0.007108397
30-09-11,10788,2630,37,3748,5,0,16,0,6220,1,3,20,0,723,3,0,0,0,2640,2,0,727,81,13418,0.005502195,0.001304789,0.003198341,0.011117241,0.002328628,0.000181386,0.006433628,0.006806984
31-10-11,10401,2526,47,3692,5,0,11,0,5962,7,3,27,0,668,2,1,0,0,2502,0,0,678,93,12927,0.005304814,0.001253193,0.003065677,0.010951135,0.002206904,0.000208258,0.006,0.006558006
30-11-11,9478,2602,41,3441,7,0,14,0,5351,7,3,17,1,648,2,0,0,0,2547,1,0,658,82,12080,0.004834057,0.001290897,0.002751499,0.010206624,0.002246596,0.000183626,0.005823009,0.006124954
