Date,Males,Females,Other_Asian,Blacks,Chinese,Cambodian,Filipino,Guamanian,Hispanic,American_Indian,Japanese,Korean,Laotian,Other,Pacific_Islander,Samoan,Hawaiian,Vietnamese,White,Unknown,Asian_Indian,Others,Asians,Sum,Per_Males,Per_Females,Per_Hispanic,Per_Blacks,Per_White,Per_Asians,Per_Others,Per_Sum,Age_0_9,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_plus,Per_Age_0_9,Per_Age_10_19,Per_Age_20_29,Per_Age_30_39,Per_Age_40_49,Per_Age_50_59,Per_Age_60_69,Per_Age_70_plus
31-01-10,10821,2786,55,3790,4,0,7,0,6650,6,1,16,0,641,3,0,0,0,2433,0,1,650,83,13607,0.005519026,0.001382183,0.003419449,0.011241821,0.002146042,0.000185865,0.005752212,0.006901209,100,2788,4066,2531,2313,1412,342,55,0.000211684,0.006076298,0.005998289,0.003982678,0.004212309,0.002844148,0.000947216,0.000423778
28-02-10,9743,2549,45,3491,1,0,8,0,6063,3,1,26,0,575,2,0,0,0,2075,1,1,580,81,12292,0.004969215,0.001264603,0.003117612,0.010354933,0.001830266,0.000181386,0.005132743,0.006233818,103,2750,3487,2276,2079,1298,275,24,0.000218035,0.005993479,0.00514413,0.003581421,0.003786161,0.002614521,0.00076165,0.000184921
31-03-10,11362,3109,51,4040,1,0,14,0,7302,4,0,20,0,628,6,0,1,0,2404,0,0,639,86,14471,0.005794952,0.001542429,0.003754709,0.011983366,0.002120462,0.000192583,0.005654867,0.007337381,174,3419,3955,2630,2368,1526,361,38,0.00036833,0.007451529,0.005834538,0.004138461,0.004312472,0.003073775,0.000999839,0.000292792
30-04-10,10815,2926,60,3885,3,0,6,0,6712,3,1,13,0,676,3,1,0,0,2377,1,0,683,83,13741,0.005515966,0.001451639,0.003451329,0.011523608,0.002096647,0.000185865,0.006044248,0.006967605,122,3212,3996,2458,2167,1409,317,60,0.000258255,0.007000384,0.005895023,0.003867808,0.003946422,0.002838105,0.000877975,0.000462303
31-05-10,11786,3003,40,4104,4,0,7,0,7471,6,1,41,0,662,2,0,0,0,2450,1,0,670,93,14789,0.006011204,0.001489841,0.003841609,0.012173201,0.002161037,0.000208258,0.005929204,0.007501045,123,3356,4356,2700,2344,1475,379,56,0.000260371,0.007314224,0.006426106,0.00424861,0.004268765,0.002971047,0.001049693,0.000431483
30-06-10,10969,2787,26,3713,4,0,9,0,6759,5,2,6,0,647,2,0,0,0,2582,1,0,654,47,13756,0.00559451,0.001382679,0.003475497,0.011013425,0.002277468,0.000105249,0.005787611,0.00697719,146,2743,4059,2604,2361,1480,325,38,0.000309059,0.005978223,0.005987962,0.004097548,0.004299724,0.002981118,0.000900132,0.000292792
31-07-10,11525,2698,43,4024,6,0,10,0,6909,4,2,10,0,676,3,1,0,0,2535,0,0,684,71,14223,0.005878087,0.001338525,0.003552627,0.011935907,0.002236012,0.000158993,0.006053097,0.007216611,87,2337,4243,2797,2705,1604,402,48,0.000184165,0.005093368,0.006259405,0.004401245,0.004926198,0.003230888,0.001113395,0.000369842
31-08-10,11409,2736,37,3882,7,0,7,0,6947,4,2,17,0,605,2,0,0,1,2634,0,0,611,71,14145,0.005818923,0.001357377,0.003572167,0.011514709,0.002323335,0.000158993,0.00540708,0.0071763,137,2196,4471,2724,2598,1583,375,61,0.000290007,0.004786065,0.006595757,0.004286375,0.004731336,0.003188588,0.001038614,0.000470008
30-09-10,11529,2827,51,3801,1,0,17,0,6891,1,1,27,0,690,1,0,0,0,2873,2,0,692,97,14356,0.005880127,0.001402524,0.003543371,0.011274449,0.002534147,0.000217216,0.006123894,0.007282651,113,2459,4403,2692,2593,1666,384,46,0.000239203,0.00535926,0.006495442,0.004236021,0.00472223,0.003355772,0.001063541,0.000354432
31-10-10,11147,2761,46,3910,3,0,16,1,6739,5,2,14,0,664,2,0,0,0,2506,0,0,671,82,13908,0.005685296,0.00136978,0.003465213,0.011597762,0.002210432,0.000183626,0.005938053,0.007055076,174,2852,4119,2539,2384,1457,325,58,0.00036833,0.006215783,0.006076476,0.003995267,0.00434161,0.00293479,0.000900132,0.000446893
30-11-10,9580,2537,28,3376,2,0,10,0,5739,1,0,7,0,604,2,0,0,1,2345,1,1,607,48,12117,0.00488608,0.00125865,0.00295101,0.010013822,0.002068421,0.000107488,0.005371681,0.00614473,129,2226,3619,2315,2133,1325,323,47,0.000273073,0.004851449,0.005338861,0.003642789,0.003884503,0.002668907,0.000894593,0.000362137
